Election,Election Date,Precinct Code,Precinct Description,Political Party,Voter Count
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,INDEPENDENT,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,DEMOCRATIC,157
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0101,PHILA WD 01 DIV 01,REPUBLICAN,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,DEMOCRATIC,187
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,UNAFFILIATED,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0102,PHILA WD 01 DIV 02,REPUBLICAN,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,DEMOCRATIC,245
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,REPUBLICAN,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0103,PHILA WD 01 DIV 03,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,NO AFFILIATION,8
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,REPUBLICAN,24
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0104,PHILA WD 01 DIV 04,DEMOCRATIC,170
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,DEMOCRATIC,98
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0105,PHILA WD 01 DIV 05,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,REPUBLICAN,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,DEMOCRATIC,92
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,NONE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,OTHER,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0106,PHILA WD 01 DIV 06,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,DEMOCRATIC,75
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0107,PHILA WD 01 DIV 07,NO AFFILIATION,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,DEMOCRATIC,100
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0108,PHILA WD 01 DIV 08,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,REPUBLICAN,10
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0109,PHILA WD 01 DIV 09,DEMOCRATIC,175
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,CONSERVATIVE,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,DEMOCRATIC,150
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0110,PHILA WD 01 DIV 10,NO AFFILIATION,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,REPUBLICAN,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,NO AFFILIATION,13
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0111,PHILA WD 01 DIV 11,DEMOCRATIC,251
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,NO AFFILIATION,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0112,PHILA WD 01 DIV 12,DEMOCRATIC,87
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,REPUBLICAN,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,UNKNOWN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,0113,PHILA WD 01 DIV 13,NON-PARTISAN,1
